Time,RejRate,AcceptRate
17.0,0.0,1.0
34.0,0.0,1.0
51.0,0.0,1.0
68.0,0.0,1.0
85.0,0.0,1.0
89.0,0.166666666667,0.833333333333
106.0,0.142857142857,0.857142857143
123.0,0.125,0.875
140.0,0.111111111111,0.888888888889
157.0,0.1,0.9
174.0,0.0909090909091,0.909090909091
191.0,0.0833333333333,0.916666666667
208.0,0.0769230769231,0.923076923077
225.0,0.0714285714286,0.928571428571
242.0,0.0666666666667,0.933333333333
246.0,0.125,0.875
263.0,0.117647058824,0.882352941176
267.0,0.166666666667,0.833333333333
284.0,0.157894736842,0.842105263158
301.0,0.15,0.85
318.0,0.142857142857,0.857142857143
335.0,0.136363636364,0.863636363636
339.0,0.173913043478,0.826086956522
356.0,0.166666666667,0.833333333333
373.0,0.16,0.84
390.0,0.153846153846,0.846153846154
407.0,0.148148148148,0.851851851852
424.0,0.142857142857,0.857142857143
441.0,0.137931034483,0.862068965517
458.0,0.133333333333,0.866666666667
475.0,0.129032258065,0.870967741935
492.0,0.125,0.875
509.0,0.121212121212,0.878787878788
513.0,0.147058823529,0.852941176471
530.0,0.142857142857,0.857142857143
547.0,0.138888888889,0.861111111111
564.0,0.135135135135,0.864864864865
581.0,0.131578947368,0.868421052632
598.0,0.128205128205,0.871794871795
602.0,0.15,0.85
619.0,0.146341463415,0.853658536585
623.0,0.166666666667,0.833333333333
627.0,0.186046511628,0.813953488372
631.0,0.204545454545,0.795454545455
648.0,0.2,0.8
665.0,0.195652173913,0.804347826087
669.0,0.212765957447,0.787234042553
673.0,0.229166666667,0.770833333333
690.0,0.224489795918,0.775510204082
694.0,0.24,0.76
711.0,0.235294117647,0.764705882353
715.0,0.25,0.75
732.0,0.245283018868,0.754716981132
736.0,0.259259259259,0.740740740741
740.0,0.272727272727,0.727272727273
744.0,0.285714285714,0.714285714286
748.0,0.298245614035,0.701754385965
765.0,0.293103448276,0.706896551724
782.0,0.28813559322,0.71186440678
799.0,0.283333333333,0.716666666667
803.0,0.295081967213,0.704918032787
820.0,0.290322580645,0.709677419355
824.0,0.301587301587,0.698412698413
841.0,0.296875,0.703125
845.0,0.307692307692,0.692307692308
849.0,0.318181818182,0.681818181818
866.0,0.313432835821,0.686567164179
883.0,0.308823529412,0.691176470588
887.0,0.31884057971,0.68115942029
904.0,0.314285714286,0.685714285714
921.0,0.30985915493,0.69014084507
925.0,0.319444444444,0.680555555556
929.0,0.328767123288,0.671232876712
933.0,0.337837837838,0.662162162162
950.0,0.333333333333,0.666666666667
967.0,0.328947368421,0.671052631579
971.0,0.337662337662,0.662337662338
975.0,0.346153846154,0.653846153846
992.0,0.341772151899,0.658227848101
1009.0,0.3375,0.6625
1013.0,0.345679012346,0.654320987654
1017.0,0.353658536585,0.646341463415
1034.0,0.349397590361,0.650602409639
1038.0,0.357142857143,0.642857142857
1042.0,0.364705882353,0.635294117647
1046.0,0.372093023256,0.627906976744
1050.0,0.379310344828,0.620689655172
1067.0,0.375,0.625
1071.0,0.38202247191,0.61797752809
1075.0,0.388888888889,0.611111111111
1092.0,0.384615384615,0.615384615385
1096.0,0.391304347826,0.608695652174
1100.0,0.397849462366,0.602150537634
1104.0,0.404255319149,0.595744680851
1108.0,0.410526315789,0.589473684211
1125.0,0.40625,0.59375
1129.0,0.412371134021,0.587628865979
1133.0,0.418367346939,0.581632653061
1137.0,0.424242424242,0.575757575758
1141.0,0.43,0.57
1145.0,0.435643564356,0.564356435644
1149.0,0.441176470588,0.558823529412
1153.0,0.446601941748,0.553398058252
1170.0,0.442307692308,0.557692307692
1174.0,0.447619047619,0.552380952381
1178.0,0.452830188679,0.547169811321
1195.0,0.448598130841,0.551401869159
1199.0,0.453703703704,0.546296296296
1203.0,0.45871559633,0.54128440367
1207.0,0.463636363636,0.536363636364
